"Year","State","mk1","mk2","measure","other","type","chem_name","chem_index","Value"
2023,"CALIFORNIA","APPLICATIONS",NA,"LB",NA,"FUNGICIDE","OXATHIAPIPROLIN","128111","(D)"
2023,"CALIFORNIA","APPLICATIONS",NA,"LB",NA,"INSECTICIDE","CYCLANILIPROLE","26202","(D)"
2023,"CALIFORNIA","APPLICATIONS",NA,"LB",NA,"INSECTICIDE","PERMETHRIN","109701","(D)"
2023,"CALIFORNIA","APPLICATIONS",NA,"LB",NA,"OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003","(NA)"
2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / APPLICATION","AVG","FUNGICIDE","OXATHIAPIPROLIN","128111","(D)"
2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / APPLICATION","AVG","INSECTICIDE","CYCLANILIPROLE","26202","(D)"
2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / APPLICATION","AVG","INSECTICIDE","PERMETHRIN","109701","(D)"
2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / APPLICATION","AVG","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003","(NA)"
2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / YEAR","AVG","FUNGICIDE","OXATHIAPIPROLIN","128111","(D)"
2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / YEAR","AVG","INSECTICIDE","CYCLANILIPROLE","26202","(D)"
2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / YEAR","AVG","INSECTICIDE","PERMETHRIN","109701","(D)"
2023,"CALIFORNIA","APPLICATIONS",NA,"LB / ACRE / YEAR","AVG","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003","(NA)"
2023,"CALIFORNIA","APPLICATIONS",NA,"NUMBER","AVG","FUNGICIDE","OXATHIAPIPROLIN","128111","(D)"
2023,"CALIFORNIA","APPLICATIONS",NA,"NUMBER","AVG","INSECTICIDE","CYCLANILIPROLE","26202","(D)"
2023,"CALIFORNIA","APPLICATIONS",NA,"NUMBER","AVG","INSECTICIDE","PERMETHRIN","109701","(D)"
2023,"CALIFORNIA","APPLICATIONS",NA,"NUMBER","AVG","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003","(D)"
2023,"CALIFORNIA","TREATED",NA,"PCT OF AREA BEARING","AVG","FUNGICIDE","OXATHIAPIPROLIN","128111","(D)"
