"Program","Year","Period","Week.Ending","Geo.Level","State","State.ANSI","Ag.District","Ag.District.Code","County","County.ANSI","Zip.Code","Region","watershed_code","Watershed","Commodity","Data.Item","Domain","Domain.Category","Chem.Value","Value","CV...."
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","APPLICATIONS, MEASURED IN LB","FUNGICIDE"," OXATHIAPIPROLIN  ","128111"," (D)",""
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","APPLICATIONS, MEASURED IN LB","INSECTICIDE"," CYCLANILIPROLE  ","26202"," (D)",""
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","APPLICATIONS, MEASURED IN LB","INSECTICIDE"," PERMETHRIN  ","109701"," (D)",""
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","APPLICATIONS, MEASURED IN LB","OTHER"," ISARIA FUMOSOROSEA STRAIN FE   115003","9901"," (NA)",""
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","FUNGICIDE"," OXATHIAPIPROLIN  ","128111"," (D)",""
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","INSECTICIDE"," CYCLANILIPROLE  ","26202"," (D)",""
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","INSECTICIDE"," PERMETHRIN  ","109701"," (D)",""
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","OTHER"," ISARIA FUMOSOROSEA STRAIN FE   115003","9901"," (NA)",""
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","FUNGICIDE"," OXATHIAPIPROLIN  ","128111"," (D)",""
"SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","INSECTICIDE"," CYCLANILIPROLE  ","26202"," (D)",""
